mixture_domain,quality_domain,Q17
arxiv,arxiv,0.7094894002981454
freelaw,commoncrawl,0.6061136105391854
nih_exporter,commoncrawl,0.6061136105391854
pubmed_central,arxiv,0.7094894002981454
wikipedia_en,wikipedia,0.5956867175934213
dm_mathematics,arxiv,0.7094894002981454
github,github,0.478453532000868
philpapers,arxiv,0.7094894002981454
stackexchange,stackexchange,0.6028669215424138
enron_emails,commoncrawl,0.6061136105391854
gutenberg_pg_19,book,0.4994921312324439
pile_cc,commoncrawl,0.6061136105391854
ubuntu_irc,commoncrawl,0.6061136105391854
europarl,commoncrawl,0.6061136105391854
hackernews,commoncrawl,0.6061136105391854
pubmed_abstracts,arxiv,0.7094894002981454
uspto_backgrounds,commoncrawl,0.6061136105391854
