domain,form,budget,label,gain_pct
arxiv,exponential,1e+19,"指数型
1e+19",0.81325523622028228
freelaw,exponential,1e+19,"指数型
1e+19",2.108526887226521
pubmed_central,exponential,1e+19,"指数型
1e+19",0.31264318318885537
wikipedia_en,exponential,1e+19,"指数型
1e+19",7.207546600070633
dm_mathematics,exponential,1e+19,"指数型
1e+19",-2.0917177887477378
github,exponential,1e+19,"指数型
1e+19",4.694280101560742
stackexchange,exponential,1e+19,"指数型
1e+19",4.1671988370167838
gutenberg_pg_19,exponential,1e+19,"指数型
1e+19",8.3395336287179518
pile_cc,exponential,1e+19,"指数型
1e+19",4.4918470117237428
ubuntu_irc,exponential,1e+19,"指数型
1e+19",12.466678306044136
hackernews,exponential,1e+19,"指数型
1e+19",10.154803219745425
pubmed_abstracts,exponential,1e+19,"指数型
1e+19",2.5501426993230094
uspto_backgrounds,exponential,1e+19,"指数型
1e+19",1.6816286133355907
arxiv,exponential,1e+22,"指数型
1e+22",1.234992247080503
freelaw,exponential,1e+22,"指数型
1e+22",1.3752589048046451
pubmed_central,exponential,1e+22,"指数型
1e+22",0.56957951432648302
wikipedia_en,exponential,1e+22,"指数型
1e+22",5.3678943391116825
dm_mathematics,exponential,1e+22,"指数型
1e+22",-3.9532684425808107
github,exponential,1e+22,"指数型
1e+22",6.0011145172656963
stackexchange,exponential,1e+22,"指数型
1e+22",3.1010773713661282
gutenberg_pg_19,exponential,1e+22,"指数型
1e+22",11.565790067788557
pile_cc,exponential,1e+22,"指数型
1e+22",3.6852422151419066
ubuntu_irc,exponential,1e+22,"指数型
1e+22",13.05619011170093
hackernews,exponential,1e+22,"指数型
1e+22",10.367805245898341
pubmed_abstracts,exponential,1e+22,"指数型
1e+22",1.6416290275112875
uspto_backgrounds,exponential,1e+22,"指数型
1e+22",1.2712458490733642
arxiv,exponential,9.9999999999999998e+23,"指数型
1e+24",1.4756536507020204
freelaw,exponential,9.9999999999999998e+23,"指数型
1e+24",1.9280537526889709
pubmed_central,exponential,9.9999999999999998e+23,"指数型
1e+24",1.5852026428816959
wikipedia_en,exponential,9.9999999999999998e+23,"指数型
1e+24",4.1682310434477783
dm_mathematics,exponential,9.9999999999999998e+23,"指数型
1e+24",-0.99450164308487565
github,exponential,9.9999999999999998e+23,"指数型
1e+24",4.7455733744791306
stackexchange,exponential,9.9999999999999998e+23,"指数型
1e+24",2.6098584547745971
gutenberg_pg_19,exponential,9.9999999999999998e+23,"指数型
1e+24",12.523974408110332
pile_cc,exponential,9.9999999999999998e+23,"指数型
1e+24",3.1510875860310761
ubuntu_irc,exponential,9.9999999999999998e+23,"指数型
1e+24",11.303658741085551
hackernews,exponential,9.9999999999999998e+23,"指数型
1e+24",9.0078008077673282
pubmed_abstracts,exponential,9.9999999999999998e+23,"指数型
1e+24",1.8260347957329417
uspto_backgrounds,exponential,9.9999999999999998e+23,"指数型
1e+24",1.3723348955214099
arxiv,power,1e+19,"幂函数型
1e+19",0.81379500800519211
freelaw,power,1e+19,"幂函数型
1e+19",2.1086319063553556
pubmed_central,power,1e+19,"幂函数型
1e+19",0.31273840344730552
wikipedia_en,power,1e+19,"幂函数型
1e+19",7.207525369970174
dm_mathematics,power,1e+19,"幂函数型
1e+19",-2.091865673144695
github,power,1e+19,"幂函数型
1e+19",4.6943120708766486
stackexchange,power,1e+19,"幂函数型
1e+19",4.1671928071350708
gutenberg_pg_19,power,1e+19,"幂函数型
1e+19",8.3394257481417569
pile_cc,power,1e+19,"幂函数型
1e+19",4.4917537276007433
ubuntu_irc,power,1e+19,"幂函数型
1e+19",12.466705383365442
hackernews,power,1e+19,"幂函数型
1e+19",10.154598883185333
pubmed_abstracts,power,1e+19,"幂函数型
1e+19",2.5500854886426279
uspto_backgrounds,power,1e+19,"幂函数型
1e+19",1.6816283836069437
