loss_domain,E_k,A_k,B_k,eta_k,zeta_k,r_squared_within_scale_test_60m
arxiv,1.099327218,0.3157134813,1.50893088,0.1118224645,0.3081921834,0.865522
freelaw,0.9767601866,0.2550456362,2.375551375,0.03601518489,0.3466544781,0.940147
pubmed_central,0.7536790436,0.3214738767,1.957781169,0.1022402759,0.5960370421,0.921791
wikipedia_en,1.479208134,0.2557551465,2.390648789,0.02036668335,0.2748356613,0.940539
dm_mathematics,0.9750350852,0.2617914953,0.9278174041,0.1844765025,0.2284689196,0.840962
github,0.1895290192,0.4779393761,1.419594565,0.09942612654,0.3275298081,0.853148
stackexchange,0.9719853669,0.3164554852,1.844270386,0.06860769018,0.2844643441,0.870629
gutenberg_pg_19,1.942940273,0.184175282,2.104989042,0.03550075193,0.04339229586,0.891764
pile_cc,2.082856956,0.2025725477,2.109359516,0.008506370298,0.2742595701,0.917257
ubuntu_irc,1.338435743,0.3757906489,2.332202542,0.1071119973,0.07198280475,0.876672
hackernews,2.403223391,0.1865817247,1.579736417,0.02654122162,0.1023527204,0.862801
pubmed_abstracts,1.510049236,0.254120837,2.003053324,0.01063233702,0.4812169433,0.893343
uspto_backgrounds,1.564560985,0.2617728652,1.629650362,0.04648023764,0.2434203177,0.943985
