train_domain,Q17,mean_mixture_share_in_A,min_share_in_A,max_share_in_A
arxiv,0.7094894,0.10979412,0,0.961
freelaw,0.60611361,0.084982537,0,0.993
nih_exporter,0.60611361,0.0059172794,0,0.253
pubmed_central,0.7094894,0.122,0,0.999
wikipedia_en,0.59568672,0.076199449,0,0.762
dm_mathematics,0.7094894,0.027085478,0,0.239
github,0.47845353,0.11639063,0,0.991
philpapers,0.7094894,0.0053051471,0,0.069
stackexchange,0.60286692,0.098467831,0,0.998
enron_emails,0.60611361,0.0021580882,0,0.026
gutenberg_pg_19,0.49949213,0.047837316,0,0.404
pile_cc,0.60611361,0.12137868,0,0.995
ubuntu_irc,0.60611361,0.01982261,0,0.296
europarl,0.60611361,0.013038603,0,0.117
hackernews,0.60611361,0.011149816,0,0.12
pubmed_abstracts,0.7094894,0.064946691,0,0.576
uspto_backgrounds,0.60611361,0.073434743,0,0.695
